"[p,q,P,Q]",AIC
"[1, 3, 2, 0]",1384179.3862572946
"[1, 3, 0, 2]",1384194.6199116714
"[0, 2, 3, 2]",1384202.245416555
"[2, 1, 0, 3]",1384212.737558544
"[1, 1, 1, 2]",1384227.2256405335
"[2, 2, 0, 1]",1384328.2535712742
"[1, 1, 2, 0]",1384392.1760934235
"[2, 2, 1, 0]",1384394.7643536755
"[0, 2, 2, 3]",1384402.821894316
"[2, 3, 2, 2]",1384439.5973165275
"[1, 1, 0, 2]",1384456.2396481957
"[2, 2, 0, 0]",1384480.9599742938
"[1, 2, 0, 1]",1384734.9865045524
"[1, 2, 1, 0]",1384783.355007755
"[1, 3, 0, 1]",1384856.8230073117
"[1, 2, 0, 0]",1384963.9723090727
"[1, 3, 0, 3]",1385120.8796269242
"[1, 1, 0, 1]",1385157.4652104871
"[0, 3, 3, 1]",1385159.9035151768
"[1, 0, 1, 2]",1385249.4955536714
"[1, 1, 0, 0]",1385365.118350753
"[1, 3, 1, 2]",1385528.130703632
"[1, 3, 0, 0]",1385644.7826193762
"[1, 3, 1, 0]",1385656.6437733746
"[3, 3, 1, 2]",1385698.2718917194
"[2, 1, 2, 0]",1385806.8303761836
"[3, 2, 1, 3]",1385891.0756305587
"[0, 1, 3, 3]",1385916.788560466
"[2, 1, 0, 2]",1385949.366804692
"[0, 2, 2, 2]",1385958.4905496314
"[0, 1, 3, 2]",1385961.0040036116
"[0, 1, 2, 3]",1385967.412622018
"[0, 2, 1, 2]",1386113.0327609356
"[3, 1, 1, 3]",1386302.766045626
"[1, 0, 2, 1]",1386747.0115438476
"[1, 0, 3, 0]",1386779.3448183497
"[0, 3, 1, 1]",1387098.9188965796
"[3, 3, 1, 3]",1387579.281350387
"[0, 2, 1, 3]",1387720.904153119
"[1, 0, 0, 3]",1387889.2039051352
"[0, 3, 2, 1]",1388023.2883773658
"[0, 3, 3, 0]",1388045.5407293653
"[2, 3, 3, 1]",1388052.4836105932
"[1, 0, 1, 1]",1388195.828568753
"[0, 3, 1, 2]",1388242.332191621
"[0, 1, 2, 2]",1388254.2570283336
"[0, 3, 0, 2]",1388326.1177829586
