date,hour,value
2014-01-09,08,200647.0
2014-01-09,09,205598.0
2014-01-09,10,209649.0
2014-01-09,11,208212.0
2014-01-09,12,205443.0
2014-01-09,13,204147.0
2014-01-09,14,195749.0
2014-01-09,15,192018.0
2014-01-09,16,191705.0
2014-01-09,17,195282.0
2014-01-09,18,208616.0
2014-01-09,19,216858.0
2014-01-09,20,217668.0
2014-01-09,21,213022.0
2014-01-09,22,197306.0
2014-01-09,23,179984.0
2014-01-10,00,164562.0
2014-01-10,01,149875.0
2014-01-10,02,141222.0
2014-01-10,03,137677.0
2014-01-10,04,136789.0
2014-01-10,05,140182.0
2014-01-10,06,154120.0
2014-01-10,07,179658.0
2014-01-10,08,201430.0
2014-01-10,09,206096.0
2014-01-10,10,209827.0
2014-01-10,11,210105.0
2014-01-10,12,208219.0
2014-01-10,13,207302.0
2014-01-10,14,199835.0
2014-01-10,15,195438.0
2014-01-10,16,193620.0
2014-01-10,17,195140.0
2014-01-10,18,206253.0
2014-01-10,19,211160.0
2014-01-10,20,210097.0
2014-01-10,21,207096.0
2014-01-10,22,195498.0
2014-01-10,23,180885.0
2014-01-11,00,167666.0
2014-01-11,01,153427.0
2014-01-11,02,143059.0
2014-01-11,03,137834.0
2014-01-11,04,134195.0
2014-01-11,05,133861.0
2014-01-11,06,135985.0
2014-01-11,07,144064.0
2014-01-11,08,153685.0
2014-01-11,09,166742.0
2014-01-11,10,182364.0
2014-01-11,11,186037.0
2014-01-11,12,184745.0
2014-01-11,13,184381.0
2014-01-11,14,180834.0
2014-01-11,15,173762.0
2014-01-11,16,167993.0
2014-01-11,17,168709.0
2014-01-11,18,181510.0
2014-01-11,19,190612.0
2014-01-11,20,191275.0
2014-01-11,21,190391.0
2014-01-11,22,184602.0
2014-01-11,23,173251.0
2014-01-12,00,158552.0
2014-01-12,01,144165.0
2014-01-12,02,134094.0
2014-01-12,03,127358.0
2014-01-12,04,126126.0
2014-01-12,05,125210.0
2014-01-12,06,127362.0
2014-01-12,07,132107.0
2014-01-12,08,137013.0
2014-01-12,09,144742.0
2014-01-12,10,158974.0
2014-01-12,11,165880.0
2014-01-12,12,165331.0
2014-01-12,13,167416.0
2014-01-12,14,168072.0
2014-01-12,15,160548.0
2014-01-12,16,155871.0
2014-01-12,17,157318.0
2014-01-12,18,172330.0
2014-01-12,19,182460.0
2014-01-12,20,187612.0
2014-01-12,21,190834.0
2014-01-12,22,182873.0
2014-01-12,23,168714.0
2014-01-13,00,152651.0
2014-01-13,01,140174.0
2014-01-13,02,131647.0
2014-01-13,03,128294.0
2014-01-13,04,128153.0
2014-01-13,05,132358.0
2014-01-13,06,150477.0
2014-01-13,07,178897.0
2014-01-13,08,202697.0
