date,weekday,working_day,madrid_temp,barcelona_temp,bilbao_temp,sevilla_temp,valencia_temp,value
2015-06-15,0,1,14.250524166666688,19.733341666666693,14.877751250000022,20.057529583333352,21.527947500000025,3941470.0
2015-06-16,1,1,17.437930416666692,19.647597083333356,14.64626625000002,23.296553333333353,20.64596000000002,3992346.0
2015-06-17,2,1,19.19239791666669,19.94533750000002,15.497012500000023,26.429672083333358,21.812697916666693,4044483.0
2015-06-18,3,1,21.26275166666669,21.39602000000002,15.61682500000002,27.040532500000015,22.974572916666688,4108779.0
2015-06-19,4,1,23.447900000000022,21.269768333333364,15.342288333333356,28.403467500000023,24.108837916666687,4172832.0
2015-06-20,5,1,24.647101250000023,22.32865041666669,16.211846666666688,29.50917125000002,23.260349583333355,3822291.0
2015-06-21,6,1,26.623914166666694,22.639520416666684,17.18953750000002,27.80129250000002,24.291241666666696,3515943.0
2015-06-22,0,1,26.04870000000002,22.888514166666692,17.904340833333357,25.588048750000027,25.172570000000025,4230338.0
2015-06-23,1,1,23.281945416666698,22.76050458333336,17.052067083333352,25.57076416666669,26.113092500000025,4228827.0
2015-06-24,2,1,23.059390000000025,22.08603250000002,17.51256750000002,25.09225958333336,24.206435000000024,3977324.0
2015-06-25,3,1,24.744206666666688,22.533065833333364,19.455519166666697,26.852309583333355,24.673547500000026,4268181.0
2015-06-26,4,1,27.007666250000014,23.760451666666686,19.59012166666669,29.98669875000002,27.21029916666669,4370301.0
2015-06-27,5,1,28.45129833333335,24.66086250000002,18.89962041666669,32.436832916666695,28.872745416666692,4050213.0
2015-06-28,6,1,29.808200416666693,24.35402958333336,19.306320833333356,32.74690208333335,27.771009583333353,3769406.0
2015-06-29,0,1,31.26778708333336,25.810600416666688,20.03298500000002,29.96884791666669,26.689781666666693,4552779.0
2015-06-30,1,1,30.92828791666669,25.75384708333336,23.785384583333354,26.661066666666684,26.877934583333353,4694609.0
2015-07-01,2,1,29.123763333333354,25.290031250000023,21.23324041666669,26.08371458333336,26.46601791666669,4656602.0
2015-07-02,3,1,27.666551250000026,25.859603750000023,18.73898750000002,27.69206250000003,26.18214166666669,4538610.0
2015-07-03,4,1,29.172304583333354,26.133121666666685,23.987126666666686,28.273440833333357,26.309515833333364,4587531.0
2015-07-04,5,1,29.630447083333355,26.77965708333335,20.29536500000002,29.662794583333362,26.668104166666684,4147763.0
2015-07-05,6,1,30.235580416666693,27.40235791666669,19.454817500000026,31.316992500000023,27.54098875000002,3910176.0
2015-07-06,0,1,31.626417916666686,27.13929583333336,20.996839166666692,32.31944000000002,28.003044583333352,4719719.0
2015-07-07,1,1,31.309748750000026,27.365574583333355,20.177555000000027,33.00915000000003,30.278029583333364,4888036.0
2015-07-08,2,1,30.066521250000026,25.428746666666683,17.75779583333335,32.16395500000002,27.91871500000002,4856135.0
2015-07-09,3,1,29.65258208333336,24.625157083333363,17.619155416666686,29.242882916666698,26.921105000000026,4756136.0
2015-07-10,4,1,29.85458583333336,25.04614750000003,20.136224583333355,27.114240000000013,27.572229166666684,4695804.0
2015-07-11,5,1,28.743167500000016,24.855330416666693,18.381860000000025,29.739475000000024,26.44405708333336,4169215.0
2015-07-12,6,1,29.34476208333336,25.029767916666685,18.279668333333355,30.05652250000003,27.216442500000024,3823021.0
2015-07-13,0,1,30.29485541666669,25.346979166666696,18.16510375000003,29.99680000000002,27.53399000000002,4649196.0
2015-07-14,1,1,30.868840000000024,25.5768754166667,18.727542083333358,30.26339083333336,27.553807916666695,4800854.0
2015-07-15,2,1,30.572512916666692,26.344303750000027,19.96869250000002,31.222436250000015,27.27300333333336,4828878.0
2015-07-16,3,1,30.729089166666697,26.615715833333365,20.516617083333355,32.734785833333355,27.686332916666686,4815323.0
2015-07-17,4,1,28.266615416666685,26.265651250000023,20.762616250000022,32.15370083333335,27.649235000000022,4801067.0
2015-07-18,5,1,26.668592916666686,26.222882500000022,21.647271250000028,30.96441041666669,27.73636333333336,4234717.0
2015-07-19,6,1,26.808007916666693,26.33199416666669,20.994774166666698,31.2331291666667,28.607150000000022,3841083.0
2015-07-20,0,1,28.941277083333357,26.482170833333356,22.46368833333335,31.166629583333364,27.566890833333357,4757976.0
2015-07-21,1,1,29.95290291666669,27.399733333333355,21.191633750000026,31.060856250000025,28.56571791666669,4904228.0
2015-07-22,2,1,28.14243916666669,26.91769833333336,19.65943833333336,32.306784166666695,28.10105875000002,4828725.0
2015-07-23,3,1,28.817702083333362,26.73173458333336,20.053052500000017,31.17907333333336,28.81632916666669,4819082.0
2015-07-24,4,1,28.243442500000018,27.029974166666694,19.964491250000027,29.93877333333336,30.456668333333358,4773104.0
