date,weekday,working_day,value
2014-06-14,5,1,3868124.0
2014-06-15,6,1,3459843.0
2014-06-16,0,1,4061172.0
2014-06-17,1,1,4161128.0
2014-06-18,2,1,4153444.0
2014-06-19,3,0,4047863.0
2014-06-20,4,1,4107634.0
2014-06-21,5,1,3738249.0
2014-06-22,6,1,3407618.0
2014-06-23,0,1,3968870.0
2014-06-24,1,1,3817867.0
2014-06-25,2,1,4009536.0
2014-06-26,3,1,4102051.0
2014-06-27,4,1,4140122.0
2014-06-28,5,1,3800153.0
2014-06-29,6,1,3388385.0
2014-06-30,0,1,3998410.0
2014-07-01,1,1,4189911.0
2014-07-02,2,1,4145918.0
2014-07-03,3,1,4083224.0
2014-07-04,4,1,4060321.0
2014-07-05,5,1,3751389.0
2014-07-06,6,1,3436882.0
2014-07-07,0,1,3984301.0
2014-07-08,1,1,4125953.0
2014-07-09,2,1,4185349.0
2014-07-10,3,1,4185164.0
2014-07-11,4,1,4172742.0
2014-07-12,5,1,3718211.0
2014-07-13,6,1,3393355.0
2014-07-14,0,1,4200158.0
2014-07-15,1,1,4403239.0
2014-07-16,2,1,4488657.0
2014-07-17,3,1,4552478.0
2014-07-18,4,1,4481784.0
2014-07-19,5,1,3874299.0
2014-07-20,6,1,3452729.0
2014-07-21,0,1,4152252.0
2014-07-22,1,1,4308228.0
2014-07-23,2,1,4400300.0
2014-07-24,3,1,4411460.0
2014-07-25,4,1,4258998.0
2014-07-26,5,1,3899844.0
2014-07-27,6,1,3565865.0
2014-07-28,0,1,4242806.0
2014-07-29,1,1,4203305.0
2014-07-30,2,1,4181023.0
2014-07-31,3,1,4158811.0
2014-08-01,4,1,4164355.0
2014-08-02,5,1,3676044.0
2014-08-03,6,1,3373291.0
2014-08-04,0,1,3996398.0
2014-08-05,1,1,4094450.0
2014-08-06,2,1,4152020.0
2014-08-07,3,1,4212212.0
2014-08-08,4,1,4199468.0
2014-08-09,5,1,3799562.0
2014-08-10,6,1,3490618.0
2014-08-11,0,1,4042839.0
2014-08-12,1,1,4102426.0
2014-08-13,2,1,4049854.0
2014-08-14,3,1,3893982.0
2014-08-15,4,0,3462806.0
2014-08-16,5,1,3482723.0
2014-08-17,6,1,3296694.0
2014-08-18,0,1,3930794.0
2014-08-19,1,1,3996558.0
2014-08-20,2,1,3984203.0
2014-08-21,3,1,3979431.0
2014-08-22,4,1,3931384.0
2014-08-23,5,1,3580663.0
2014-08-24,6,1,3354121.0
2014-08-25,0,1,4122223.0
2014-08-26,1,1,4360874.0
2014-08-27,2,1,4438503.0
2014-08-28,3,1,4443951.0
2014-08-29,4,1,4382374.0
2014-08-30,5,1,3888701.0
2014-08-31,6,1,3596811.0
2014-09-01,0,1,4401194.0
2014-09-02,1,1,4548373.0
2014-09-03,2,1,4547584.0
2014-09-04,3,1,4523901.0
2014-09-05,4,1,4468522.0
2014-09-06,5,1,3951109.0
2014-09-07,6,1,3614082.0
2014-09-08,0,1,4217322.0
2014-09-09,1,1,4398902.0
2014-09-10,2,1,4401649.0
2014-09-11,3,1,4225031.0
2014-09-12,4,1,4272617.0
2014-09-13,5,1,3867220.0
2014-09-14,6,1,3524498.0
2014-09-15,0,1,4184497.0
2014-09-16,1,1,4274091.0
2014-09-17,2,1,4284982.0
2014-09-18,3,1,4256613.0
2014-09-19,4,1,4208120.0
2014-09-20,5,1,3720870.0
2014-09-21,6,1,3371784.0
2014-09-22,0,1,4013200.0
2014-09-23,1,1,4027764.0
2014-09-24,2,1,3975627.0
2014-09-25,3,1,3978292.0
2014-09-26,4,1,3942824.0
2014-09-27,5,1,3519963.0
2014-09-28,6,1,3247309.0
2014-09-29,0,1,3913275.0
2014-09-30,1,1,4018059.0
2014-10-01,2,1,4042616.0
2014-10-02,3,1,4069449.0
2014-10-03,4,1,4027492.0
2014-10-04,5,1,3570210.0
2014-10-05,6,1,3255651.0
2014-10-06,0,1,3932639.0
2014-10-07,1,1,4049922.0
2014-10-08,2,1,4069131.0
2014-10-09,3,1,3984148.0
2014-10-10,4,1,3955483.0
2014-10-11,5,1,3513529.0
2014-10-12,6,1,3229266.0
2014-10-13,0,1,3698598.0
2014-10-14,1,1,3913385.0
2014-10-15,2,1,4011005.0
2014-10-16,3,1,4074624.0
2014-10-17,4,1,4033213.0
2014-10-18,5,1,3563391.0
2014-10-19,6,1,3246257.0
2014-10-20,0,1,3917313.0
2014-10-21,1,1,4065936.0
2014-10-22,2,1,4044360.0
2014-10-23,3,1,3969038.0
2014-10-24,4,1,3941928.0
2014-10-25,5,1,3470232.0
2014-10-26,6,1,3314915.0
2014-10-27,0,1,3863202.0
2014-10-28,1,1,3975553.0
2014-10-29,2,1,3987451.0
2014-10-30,3,1,3966111.0
2014-10-31,4,1,3920255.0
2014-11-01,5,0,3352038.0
2014-11-02,6,1,3192876.0
2014-11-03,0,1,3918871.0
2014-11-04,1,1,4038336.0
2014-11-05,2,1,4063291.0
2014-11-06,3,1,4126019.0
2014-11-07,4,1,4111434.0
2014-11-08,5,1,3668946.0
2014-11-09,6,1,3391878.0
2014-11-10,0,1,4078167.0
2014-11-11,1,1,4303055.0
2014-11-12,2,1,4256685.0
2014-11-13,3,1,4273721.0
2014-11-14,4,1,4223016.0
2014-11-15,5,1,3729919.0
2014-11-16,6,1,3475917.0
2014-11-17,0,1,4207275.0
2014-11-18,1,1,4355386.0
2014-11-19,2,1,4316016.0
2014-11-20,3,1,4281721.0
2014-11-21,4,1,4188595.0
2014-11-22,5,1,3711691.0
2014-11-23,6,1,3467314.0
2014-11-24,0,1,4088461.0
2014-11-25,1,1,4203946.0
2014-11-26,2,1,4206216.0
2014-11-27,3,1,4267827.0
2014-11-28,4,1,4260015.0
2014-11-29,5,1,3765649.0
2014-11-30,6,1,3502094.0
2014-12-01,0,1,4163996.0
2014-12-02,1,1,4269044.0
2014-12-03,2,1,4321621.0
2014-12-04,3,1,4351462.0
2014-12-05,4,1,4334194.0
2014-12-06,5,0,3872047.0
2014-12-07,6,1,3678158.0
2014-12-08,0,0,3774805.0
2014-12-09,1,1,4524805.0
2014-12-10,2,1,4594053.0
2014-12-11,3,1,4571297.0
2014-12-12,4,1,4554541.0
2014-12-13,5,1,4103810.0
2014-12-14,6,1,3836679.0
2014-12-15,0,1,4486790.0
2014-12-16,1,1,4556472.0
2014-12-17,2,1,4518304.0
2014-12-18,3,1,4445286.0
2014-12-19,4,1,4365933.0
2014-12-20,5,1,3944801.0
2014-12-21,6,1,3667082.0
2014-12-22,0,1,4228290.0
2014-12-23,1,1,4237839.0
2014-12-24,2,1,3790374.0
2014-12-25,3,0,3262761.0
2014-12-26,4,1,3757803.0
2014-12-27,5,1,3796740.0
2014-12-28,6,1,3639429.0
2014-12-29,0,1,4177174.0
2014-12-30,1,1,4243408.0
2014-12-31,2,1,3947796.0
2015-01-01,3,0,3440333.0
2015-01-02,4,1,4069521.0
2015-01-03,5,1,3972525.0
2015-01-04,6,1,3777897.0
2015-01-05,0,1,4064704.0
2015-01-06,1,0,3632553.0
2015-01-07,2,1,4548185.0
2015-01-08,3,1,4708010.0
2015-01-09,4,1,4648739.0
2015-01-10,5,1,4135279.0
2015-01-11,6,1,3832290.0
2015-01-12,0,1,4558891.0
2015-01-13,1,1,4625274.0
2015-01-14,2,1,4622804.0
2015-01-15,3,1,4615450.0
2015-01-16,4,1,4621113.0
2015-01-17,5,1,4202038.0
2015-01-18,6,1,4015901.0
2015-01-19,0,1,4753734.0
2015-01-20,1,1,4900678.0
2015-01-21,2,1,4917199.0
2015-01-22,3,1,4883285.0
2015-01-23,4,1,4814256.0
2015-01-24,5,1,4316329.0
2015-01-25,6,1,3958450.0
2015-01-26,0,1,4681684.0
2015-01-27,1,1,4738938.0
2015-01-28,2,1,4710419.0
2015-01-29,3,1,4694063.0
2015-01-30,4,1,4633866.0
2015-01-31,5,1,4159835.0
2015-02-01,6,1,3921603.0
2015-02-02,0,1,4731568.0
2015-02-03,1,1,4842382.0
2015-02-04,2,1,4951984.0
2015-02-05,3,1,4934214.0
2015-02-06,4,1,4936027.0
2015-02-07,5,1,4492970.0
2015-02-08,6,1,4104819.0
2015-02-09,0,1,4843193.0
2015-02-10,1,1,4905044.0
2015-02-11,2,1,4847763.0
2015-02-12,3,1,4796859.0
2015-02-13,4,1,4644858.0
2015-02-14,5,1,4172491.0
2015-02-15,6,1,3833646.0
2015-02-16,0,1,4465195.0
2015-02-17,1,1,4645671.0
2015-02-18,2,1,4644501.0
2015-02-19,3,1,4559894.0
2015-02-20,4,1,4551382.0
2015-02-21,5,1,4115883.0
2015-02-22,6,1,3813192.0
2015-02-23,0,1,4506264.0
2015-02-24,1,1,4626966.0
2015-02-25,2,1,4599196.0
2015-02-26,3,1,4508794.0
2015-02-27,4,1,4394142.0
2015-02-28,5,1,3917802.0
2015-03-01,6,1,3613356.0
2015-03-02,0,1,4228719.0
2015-03-03,1,1,4254892.0
2015-03-04,2,1,4306087.0
2015-03-05,3,1,4362040.0
2015-03-06,4,1,4316526.0
2015-03-07,5,1,3786603.0
2015-03-08,6,1,3499816.0
2015-03-09,0,1,4170278.0
2015-03-10,1,1,4235208.0
2015-03-11,2,1,4207477.0
2015-03-12,3,1,4184941.0
2015-03-13,4,1,4199914.0
2015-03-14,5,1,3863902.0
2015-03-15,6,1,3609550.0
2015-03-16,0,1,4291160.0
2015-03-17,1,1,4413148.0
2015-03-18,2,1,4442608.0
2015-03-19,3,1,4150543.0
2015-03-20,4,1,4279650.0
2015-03-21,5,1,3934012.0
2015-03-22,6,1,3660101.0
2015-03-23,0,1,4390073.0
2015-03-24,1,1,4498148.0
2015-03-25,2,1,4451643.0
2015-03-26,3,1,4415524.0
2015-03-27,4,1,4269872.0
2015-03-28,5,1,3739762.0
2015-03-29,6,1,3259763.0
2015-03-30,0,1,3944149.0
2015-03-31,1,1,3971949.0
2015-04-01,2,1,3908569.0
2015-04-02,3,0,3428810.0
2015-04-03,4,0,3111112.0
2015-04-04,5,1,3275511.0
2015-04-05,6,1,3154371.0
2015-04-06,0,1,3445850.0
2015-04-07,1,1,3930653.0
2015-04-08,2,1,4061787.0
2015-04-09,3,1,4115980.0
2015-04-10,4,1,4063330.0
2015-04-11,5,1,3676205.0
2015-04-12,6,1,3376530.0
2015-04-13,0,1,3925519.0
2015-04-14,1,1,4031845.0
2015-04-15,2,1,4084742.0
2015-04-16,3,1,4055931.0
2015-04-17,4,1,4003823.0
2015-04-18,5,1,3584708.0
2015-04-19,6,1,3300555.0
2015-04-20,0,1,3898066.0
2015-04-21,1,1,3985991.0
2015-04-22,2,1,3972711.0
2015-04-23,3,1,3899044.0
2015-04-24,4,1,3926423.0
2015-04-25,5,1,3598453.0
2015-04-26,6,1,3342928.0
2015-04-27,0,1,3921803.0
2015-04-28,1,1,3969814.0
2015-04-29,2,1,3983799.0
2015-04-30,3,1,3995061.0
2015-05-01,4,0,3273692.0
2015-05-02,5,1,3392088.0
2015-05-03,6,1,3245556.0
2015-05-04,0,1,3943150.0
2015-05-05,1,1,4028577.0
2015-05-06,2,1,4013562.0
2015-05-07,3,1,4013319.0
2015-05-08,4,1,4041020.0
2015-05-09,5,1,3638057.0
2015-05-10,6,1,3343291.0
2015-05-11,0,1,4001510.0
2015-05-12,1,1,4130849.0
2015-05-13,2,1,4179692.0
2015-05-14,3,1,4265566.0
2015-05-15,4,1,3994696.0
2015-05-16,5,1,3599391.0
2015-05-17,6,1,3351412.0
2015-05-18,0,1,4028325.0
2015-05-19,1,1,4097199.0
2015-05-20,2,1,4001370.0
2015-05-21,3,1,3979209.0
2015-05-22,4,1,3997615.0
2015-05-23,5,1,3620639.0
2015-05-24,6,1,3301264.0
2015-05-25,0,1,3913254.0
2015-05-26,1,1,4040766.0
2015-05-27,2,1,4087483.0
2015-05-28,3,1,4135702.0
2015-05-29,4,1,4078126.0
2015-05-30,5,1,3650141.0
2015-05-31,6,1,3349456.0
2015-06-01,0,1,4000767.0
2015-06-02,1,1,4208988.0
2015-06-03,2,1,4247258.0
2015-06-04,3,1,4157642.0
2015-06-05,4,1,4214578.0
2015-06-06,5,1,3830810.0
2015-06-07,6,1,3513887.0
2015-06-08,0,1,4243632.0
2015-06-09,1,1,4294669.0
2015-06-10,2,1,4292616.0
2015-06-11,3,1,4208411.0
2015-06-12,4,1,4090250.0
2015-06-13,5,1,3638359.0
2015-06-14,6,1,3307382.0
2015-06-15,0,1,3941470.0
2015-06-16,1,1,3992346.0
2015-06-17,2,1,4044483.0
2015-06-18,3,1,4108779.0
2015-06-19,4,1,4172832.0
2015-06-20,5,1,3822291.0
2015-06-21,6,1,3515943.0
2015-06-22,0,1,4230338.0
2015-06-23,1,1,4228827.0
2015-06-24,2,1,3977324.0
2015-06-25,3,1,4268181.0
2015-06-26,4,1,4370301.0
2015-06-27,5,1,4050213.0
2015-06-28,6,1,3769406.0
2015-06-29,0,1,4552779.0
2015-06-30,1,1,4694609.0
2015-07-01,2,1,4656602.0
2015-07-02,3,1,4538610.0
2015-07-03,4,1,4587531.0
2015-07-04,5,1,4147763.0
2015-07-05,6,1,3910176.0
2015-07-06,0,1,4719719.0
2015-07-07,1,1,4888036.0
2015-07-08,2,1,4856135.0
2015-07-09,3,1,4756136.0
2015-07-10,4,1,4695804.0
2015-07-11,5,1,4169215.0
2015-07-12,6,1,3823021.0
2015-07-13,0,1,4649196.0
2015-07-14,1,1,4800854.0
2015-07-15,2,1,4828878.0
2015-07-16,3,1,4815323.0
2015-07-17,4,1,4801067.0
2015-07-18,5,1,4234717.0
2015-07-19,6,1,3841083.0
2015-07-20,0,1,4757976.0
2015-07-21,1,1,4904228.0
2015-07-22,2,1,4828725.0
2015-07-23,3,1,4819082.0
2015-07-24,4,1,4773104.0
2015-07-25,5,1,4108295.0
2015-07-26,6,1,3792505.0
2015-07-27,0,1,4611596.0
2015-07-28,1,1,4717551.0
2015-07-29,2,1,4784715.0
2015-07-30,3,1,4621361.0
2015-07-31,4,1,4379753.0
2015-08-01,5,1,3788553.0
2015-08-02,6,1,3565530.0
2015-08-03,0,1,4357067.0
2015-08-04,1,1,4420302.0
2015-08-05,2,1,4463160.0
2015-08-06,3,1,4455015.0
2015-08-07,4,1,4488930.0
2015-08-08,5,1,3954931.0
2015-08-09,6,1,3519011.0
2015-08-10,0,1,4150865.0
2015-08-11,1,1,4262913.0
2015-08-12,2,1,4294403.0
2015-08-13,3,1,4210545.0
2015-08-14,4,1,3973260.0
2015-08-15,5,1,3470022.0
2015-08-16,6,1,3317695.0
2015-08-17,0,1,3913747.0
