"[p,q,P,Q]",AIC
"[3, 0, 1, 3]",34.0
"[2, 3, 3, 3]",1363723.4419396524
"[3, 3, 3, 3]",1364757.8832307172
"[2, 3, 2, 3]",1364811.2988055146
"[2, 3, 3, 2]",1365062.8129856212
"[3, 2, 3, 3]",1365916.7272395482
"[1, 3, 3, 3]",1366075.3610120094
"[3, 3, 2, 3]",1366378.9075668291
"[2, 2, 3, 3]",1367155.5194112936
"[3, 3, 3, 2]",1367527.6523470145
"[1, 2, 3, 3]",1367563.5675293887
"[3, 3, 2, 2]",1367611.7630903982
"[3, 2, 2, 2]",1367901.2625457572
"[3, 2, 2, 3]",1367974.9595246797
"[3, 2, 3, 2]",1367995.8737597056
"[3, 0, 3, 3]",1368329.2804301272
"[1, 3, 3, 2]",1368435.1819846032
"[2, 2, 3, 2]",1368448.270434356
"[1, 3, 2, 3]",1368652.5295634982
"[2, 3, 2, 2]",1368718.0199596162
"[2, 2, 2, 3]",1368849.261695519
"[3, 1, 3, 3]",1369006.649644493
"[1, 1, 3, 3]",1369140.5462315374
"[2, 1, 3, 3]",1369234.676937603
"[2, 0, 3, 3]",1369305.402841631
"[1, 2, 3, 2]",1369440.4344398496
"[1, 3, 2, 2]",1369550.468398325
"[2, 1, 3, 2]",1369817.2725227426
"[2, 2, 2, 2]",1369883.5964757272
"[1, 2, 2, 3]",1370056.478508505
"[1, 0, 3, 3]",1370192.0799886268
"[2, 1, 2, 3]",1370321.604170686
"[1, 2, 2, 2]",1370661.5656274129
"[3, 0, 3, 2]",1370720.6702891835
"[3, 1, 3, 2]",1370734.0595127293
"[3, 1, 2, 3]",1370825.7186455475
"[3, 0, 2, 3]",1370834.8033034345
"[2, 0, 3, 2]",1371188.2636778026
"[1, 1, 3, 2]",1371247.9995841144
"[3, 0, 2, 2]",1371290.0764439076
"[3, 1, 2, 2]",1371345.2859171736
"[2, 0, 2, 3]",1371382.6083858723
"[2, 1, 2, 2]",1371456.0517144958
"[1, 1, 2, 3]",1371519.329189409
"[0, 1, 3, 3]",1372009.269377052
"[1, 1, 2, 2]",1372145.807601831
"[2, 0, 2, 2]",1372150.3203609344
"[1, 0, 3, 2]",1372452.7013135236
"[1, 0, 2, 3]",1372601.253016624
"[1, 0, 2, 2]",1373446.7330735405
"[0, 1, 3, 2]",1373699.1613371647
"[0, 2, 3, 3]",1373704.4238124036
"[2, 3, 1, 3]",1373778.972332151
"[0, 1, 2, 3]",1373812.1018229446
"[0, 1, 2, 2]",1374543.4951820397
"[2, 1, 1, 1]",1375135.2042423254
"[2, 2, 2, 1]",1375188.9872372434
"[3, 2, 0, 0]",1375284.3316428706
"[2, 2, 3, 0]",1375371.756015465
"[0, 2, 3, 2]",1375463.8181047507
"[2, 3, 3, 0]",1375554.0119426928
"[0, 2, 2, 3]",1375570.2440078978
"[3, 2, 1, 0]",1375596.189772925
"[2, 2, 0, 3]",1375607.6056903645
"[2, 2, 0, 2]",1375632.665904254
"[2, 1, 1, 2]",1375706.746945673
"[3, 2, 0, 1]",1375828.8215787862
"[2, 2, 1, 0]",1375837.8648121206
"[2, 2, 0, 0]",1376030.2496051677
"[2, 3, 1, 1]",1376168.3214399458
"[0, 2, 2, 2]",1376247.3352843728
"[3, 2, 1, 1]",1376475.05264859
"[2, 3, 2, 1]",1376555.2893345016
"[3, 0, 3, 1]",1376941.1585199158
"[0, 3, 3, 3]",1377126.8913439857
"[3, 1, 2, 1]",1377317.823401562
"[3, 1, 0, 3]",1377328.839048045
"[3, 3, 2, 1]",1377360.4332014204
"[3, 1, 0, 2]",1377390.7784635802
"[3, 1, 2, 0]",1377568.1189132794
"[3, 1, 0, 0]",1377572.4973504676
"[2, 1, 3, 0]",1377621.640151791
"[2, 1, 0, 3]",1377634.6815001187
"[2, 1, 0, 2]",1377640.1940595384
"[2, 0, 1, 3]",1377644.4587306362
"[2, 1, 0, 0]",1377657.2462725155
"[2, 1, 2, 0]",1377670.1469701964
"[3, 3, 3, 1]",1377735.0206849382
"[2, 1, 0, 1]",1377741.895183586
"[2, 1, 1, 0]",1377789.8699073726
"[0, 0, 3, 3]",1377924.63048206
"[1, 3, 3, 0]",1378244.0667608236
"[0, 3, 3, 2]",1378255.6206801203
"[2, 3, 3, 1]",1378403.3290800662
"[3, 3, 2, 0]",1378723.285538437
"[2, 0, 1, 2]",1378835.7047372756
"[3, 3, 0, 2]",1378906.7106052027
"[3, 3, 1, 0]",1378926.4887817
"[0, 3, 2, 3]",1378956.720840932
"[2, 3, 2, 0]",1379042.8131188608
"[3, 3, 1, 2]",1379049.7082031348
"[3, 3, 1, 1]",1379067.4068175494
"[0, 3, 2, 2]",1379107.417348558
"[3, 3, 0, 3]",1379156.3989988945
"[2, 2, 1, 3]",1379305.8862461485
"[3, 3, 0, 0]",1379326.4673754813
"[3, 3, 0, 1]",1379356.083549899
"[0, 0, 3, 2]",1379371.822968505
"[2, 3, 0, 2]",1379380.5247797216
