"[p,q,P,Q]",AIC
"[2, 1, 0, 3]",1377538.1508463267
"[2, 1, 0, 2]",1377543.3698841576
"[2, 1, 2, 0]",1377572.640484008
"[2, 1, 0, 1]",1377644.6925882436
"[2, 1, 1, 0]",1377694.0167728567
"[1, 1, 1, 3]",1377733.3541692684
"[0, 0, 3, 3]",1377839.220964252
"[0, 3, 3, 2]",1378196.111194437
"[2, 1, 2, 1]",1378274.089017495
"[0, 3, 2, 3]",1378506.4323379055
"[2, 3, 1, 1]",1378542.169393803
"[2, 1, 3, 0]",1378601.3287040328
"[3, 3, 2, 0]",1378632.611628521
"[2, 2, 3, 1]",1378915.4795068947
"[3, 3, 1, 1]",1378917.76779377
"[3, 3, 3, 0]",1378958.187043849
"[3, 3, 0, 0]",1379022.3281301956
"[3, 3, 1, 0]",1379027.2765869466
"[0, 3, 2, 2]",1379047.3298314973
"[3, 3, 0, 2]",1379167.300371449
"[3, 3, 0, 3]",1379193.1117707472
"[2, 3, 0, 2]",1379298.3858830875
"[2, 1, 1, 3]",1379314.594854322
"[3, 3, 0, 1]",1379316.1008495532
"[0, 0, 3, 2]",1379329.574582646
"[2, 3, 2, 0]",1379367.607110443
"[2, 3, 0, 0]",1379458.3408795337
"[2, 3, 1, 0]",1379538.7690873917
"[3, 3, 1, 2]",1379665.8739342657
"[2, 3, 0, 1]",1379667.084842593
"[3, 2, 0, 2]",1379828.6348574224
"[2, 3, 1, 2]",1379934.0434983878
"[3, 0, 1, 1]",1380060.379013051
"[1, 3, 3, 0]",1380080.0446496166
"[2, 3, 0, 3]",1380194.509011652
"[0, 0, 2, 2]",1380516.012320996
"[0, 2, 0, 1]",1380616.122226158
"[0, 2, 1, 3]",1380688.4790826344
"[1, 3, 1, 2]",1380708.8984762398
"[3, 1, 3, 1]",1380766.6263575158
"[1, 2, 3, 0]",1380791.617066539
"[2, 0, 3, 1]",1380902.8871715586
"[3, 1, 3, 0]",1381025.3862012045
"[3, 0, 3, 0]",1381075.195845608
"[2, 0, 3, 0]",1381153.2144207717
"[1, 1, 3, 1]",1381173.3921588797
"[1, 3, 2, 0]",1381261.5567938052
"[3, 1, 1, 2]",1381292.5589140514
"[1, 3, 0, 1]",1381315.0654002996
"[2, 2, 2, 0]",1381407.4931289342
"[1, 1, 3, 0]",1381439.9113663188
"[3, 1, 0, 2]",1381495.661965445
"[1, 0, 1, 3]",1381595.884652557
"[3, 0, 2, 1]",1381624.6770343217
"[0, 2, 1, 2]",1381651.3015835972
"[2, 0, 2, 1]",1381738.625069223
"[3, 2, 1, 1]",1381767.7562899748
"[3, 1, 1, 1]",1381780.3527671124
"[3, 0, 0, 3]",1381835.1320298484
"[2, 2, 0, 1]",1381868.9587231255
"[3, 0, 1, 2]",1382002.349886007
"[2, 0, 0, 3]",1382023.368743286
"[0, 0, 2, 3]",1382137.0925722327
"[3, 0, 2, 0]",1382158.54439378
"[3, 0, 0, 2]",1382190.7430243762
"[1, 3, 1, 0]",1382262.0091858942
"[2, 0, 1, 2]",1382264.9892970847
"[1, 1, 2, 1]",1382330.4344927212
"[2, 0, 2, 0]",1382373.9799817
"[2, 0, 0, 2]",1382534.768817562
"[0, 2, 3, 1]",1382569.5646199405
"[2, 2, 1, 3]",1382631.0675779455
"[3, 0, 0, 1]",1382646.33092297
"[3, 0, 1, 0]",1382656.7551954223
"[3, 0, 0, 0]",1382686.451056599
"[1, 1, 0, 3]",1382823.5393871896
"[2, 2, 1, 1]",1382857.662381116
"[2, 0, 1, 1]",1382862.3827568092
"[3, 1, 0, 1]",1382885.1223953958
"[3, 1, 1, 0]",1382941.1466080395
"[2, 0, 0, 1]",1382946.5505778007
"[2, 0, 1, 0]",1383001.3780661202
"[2, 3, 3, 1]",1383113.620235767
"[3, 2, 1, 3]",1383173.042842483
"[2, 0, 0, 0]",1383226.8881823528
"[1, 0, 1, 2]",1383252.8269076354
"[1, 1, 1, 2]",1383277.570126046
"[1, 1, 2, 0]",1383299.3206877732
"[2, 2, 1, 2]",1383400.9498827015
"[1, 3, 1, 3]",1383537.044420833
"[1, 1, 0, 2]",1383734.2419950918
"[0, 2, 0, 0]",1383735.772441846
"[1, 2, 3, 1]",1383778.1965674143
"[1, 1, 1, 1]",1384049.2867944594
"[0, 2, 3, 0]",1384100.382376166
"[1, 3, 0, 0]",1384102.850870764
"[1, 1, 0, 1]",1384137.1132209788
"[1, 1, 1, 0]",1384304.8450098976
"[3, 1, 1, 3]",1384586.505561567
"[0, 2, 2, 1]",1384603.9400187724
"[1, 0, 3, 1]",1384636.670756253
"[3, 2, 3, 0]",1384927.5824026
"[1, 1, 0, 0]",1384935.911951988
"[1, 0, 3, 0]",1384991.1202900116
"[3, 2, 3, 1]",1385019.2209463094
"[0, 2, 0, 3]",1385095.5476668351
"[0, 2, 2, 0]",1385206.1772068928
"[1, 3, 0, 3]",1385603.7403482308
"[0, 2, 0, 2]",1385781.642539519
"[3, 3, 3, 1]",1385833.2492172224
"[0, 2, 1, 1]",1385861.7520666902
"[0, 3, 3, 1]",1385866.1137147334
"[0, 1, 3, 1]",1386028.2812955377
"[0, 3, 3, 0]",1386070.445042287
"[1, 2, 2, 1]",1386162.964875688
"[1, 0, 2, 1]",1386301.1725809698
"[0, 2, 1, 0]",1386382.7775341552
"[0, 3, 2, 1]",1386591.55579741
"[0, 1, 3, 0]",1386739.2408205029
"[0, 3, 0, 3]",1387023.887676736
"[1, 0, 0, 1]",1387077.948574399
"[0, 3, 2, 0]",1387171.624177544
"[3, 0, 1, 3]",1387183.3194035916
"[1, 0, 0, 3]",1387185.0663985033
"[0, 3, 1, 2]",1387349.957441159
"[0, 3, 1, 1]",1387474.3929676786
"[1, 2, 0, 3]",1387501.1973511218
"[1, 2, 1, 2]",1387655.78566392
"[0, 3, 0, 2]",1387660.4389325075
"[0, 1, 2, 1]",1387692.2553987294
"[0, 3, 0, 1]",1387826.9173492636
"[1, 0, 2, 0]",1387905.2171814595
"[0, 3, 1, 0]",1388154.492166578
"[1, 3, 3, 1]",1388506.6084460262
"[0, 3, 0, 0]",1388586.8610413787
"[1, 2, 2, 0]",1388682.1976421424
"[1, 0, 0, 2]",1388868.3363774572
"[1, 0, 1, 1]",1389288.8994173664
"[3, 2, 0, 3]",1389325.6075114338
"[0, 1, 0, 3]",1389360.4449849452
"[1, 2, 1, 3]",1389383.580010588
"[1, 2, 0, 2]",1389625.915488612
"[1, 0, 1, 0]",1389791.4848753456
"[0, 1, 2, 0]",1390012.8945348146
"[1, 2, 0, 1]",1390082.1097253177
"[0, 1, 1, 2]",1390151.9135172667
"[3, 2, 2, 1]",1390240.473035629
"[1, 2, 1, 0]",1390441.8505988934
"[3, 2, 2, 0]",1390607.8063061696
"[3, 2, 1, 2]",1390640.6132020543
"[1, 2, 0, 0]",1390666.306203582
"[1, 0, 0, 0]",1390991.906489719
"[0, 1, 1, 3]",1391139.3539123966
"[0, 1, 0, 2]",1391173.6769245286
"[1, 3, 2, 1]",1391659.00038278
"[0, 3, 1, 3]",1391684.3679258763
"[1, 2, 1, 1]",1392194.56858656
"[0, 1, 1, 1]",1392310.003658416
"[0, 1, 0, 1]",1392535.2171562903
"[0, 1, 0, 0]",1392808.9371456727
"[0, 1, 1, 0]",1393119.3530154468
"[1, 3, 1, 1]",1394780.0503271068
"[1, 3, 0, 2]",1394897.627882223
"[0, 0, 3, 1]",1407361.5530863972
"[0, 0, 3, 0]",1409313.2383874238
"[0, 0, 2, 1]",1410283.845798219
"[0, 0, 1, 3]",1410375.5066094762
"[0, 0, 2, 0]",1414421.560837816
"[0, 0, 0, 3]",1416192.4637521254
"[0, 0, 1, 2]",1417756.7145219643
"[0, 0, 0, 2]",1420714.051466704
"[0, 0, 0, 1]",1421031.8055120222
"[0, 0, 1, 1]",1422071.909018692
"[0, 0, 1, 0]",1425187.055529287
"[0, 0, 0, 0]",2131041.493893145
