"[p,q,P,Q]",AIC
"[2, 3, 3, 3]",1362547.5838979192
"[3, 3, 3, 3]",1364014.071474416
"[2, 3, 3, 2]",1364367.7770679437
"[2, 3, 2, 3]",1364934.282950778
"[3, 2, 3, 3]",1365162.054485083
"[3, 3, 2, 3]",1366264.7293685337
"[1, 3, 3, 3]",1366282.2465677056
"[2, 2, 3, 3]",1366686.9098264491
"[3, 3, 3, 2]",1367314.1944070386
"[1, 2, 3, 3]",1367650.5286111287
"[3, 2, 2, 3]",1367892.4279097822
"[3, 2, 3, 2]",1368145.1187362056
"[3, 2, 2, 2]",1368234.7599202814
"[2, 3, 2, 2]",1368296.292846988
"[3, 3, 2, 2]",1368322.923950004
"[2, 2, 3, 2]",1368342.363664022
"[3, 0, 3, 3]",1368344.6862984071
"[1, 3, 3, 2]",1368348.8342039678
"[1, 3, 2, 3]",1368513.746278058
"[2, 2, 2, 3]",1368757.6455899144
"[3, 1, 3, 3]",1368833.901227898
"[2, 1, 3, 3]",1368836.4269047885
"[1, 1, 3, 3]",1369129.471948583
"[2, 0, 3, 3]",1369285.1334106857
"[1, 2, 3, 2]",1369378.920986782
"[1, 3, 2, 2]",1369452.129655122
"[2, 2, 2, 2]",1369575.2135623023
"[1, 2, 2, 3]",1369581.3877540787
"[2, 1, 3, 2]",1369736.2142078686
"[1, 0, 3, 3]",1369744.362934985
"[2, 1, 2, 3]",1370331.6529423469
"[1, 2, 2, 2]",1370553.1392462812
"[3, 0, 3, 2]",1370640.027889689
"[3, 1, 3, 2]",1370670.224605292
"[3, 1, 2, 3]",1370781.677787213
"[3, 0, 2, 3]",1370889.9410036304
"[3, 1, 2, 2]",1371092.2201548442
"[2, 0, 3, 2]",1371116.2455484115
"[3, 0, 2, 2]",1371194.551297522
"[1, 1, 3, 2]",1371221.2096398254
"[2, 0, 2, 3]",1371249.94056471
"[2, 1, 2, 2]",1371493.8786244097
"[1, 1, 2, 3]",1371588.4971850775
"[0, 1, 3, 3]",1371741.883205274
"[1, 1, 2, 2]",1372081.978278872
"[2, 0, 2, 2]",1372082.541479509
"[1, 0, 3, 2]",1372390.6329773492
"[1, 0, 2, 3]",1372538.7961678042
"[1, 0, 2, 2]",1373388.6865513898
"[0, 2, 3, 3]",1373464.281817425
"[0, 1, 3, 2]",1373629.7341242337
"[0, 1, 2, 3]",1373739.6253893713
"[2, 3, 1, 3]",1373797.4045777572
"[0, 1, 2, 2]",1374478.4398935472
"[2, 1, 1, 2]",1374636.9552196916
"[3, 2, 0, 1]",1374717.1631169098
"[2, 2, 2, 1]",1374829.290731063
"[2, 1, 1, 1]",1374998.7925315902
"[3, 2, 0, 0]",1375059.567411587
"[0, 2, 3, 2]",1375393.8335021012
"[3, 2, 1, 0]",1375495.918324247
"[0, 2, 2, 3]",1375501.1140043123
"[2, 2, 0, 2]",1375520.8343147947
"[2, 2, 0, 3]",1375530.184827415
"[2, 2, 3, 0]",1375578.0334343356
"[2, 2, 1, 0]",1375634.5875958188
"[2, 1, 0, 0]",1375834.13435614
"[2, 1, 3, 1]",1375842.9273562082
"[2, 3, 2, 1]",1375907.8300073708
"[3, 3, 2, 1]",1376135.0191710326
"[0, 2, 2, 2]",1376190.398767327
"[2, 2, 0, 0]",1376579.1721174968
"[3, 0, 3, 1]",1376827.883407748
"[0, 3, 3, 3]",1376966.3518127631
"[3, 1, 2, 1]",1377215.3096593693
"[3, 1, 0, 3]",1377220.8768694953
"[3, 1, 2, 0]",1377326.6925639848
"[2, 0, 1, 3]",1377461.1015286231
"[3, 3, 1, 3]",1377469.8520571687
"[3, 1, 0, 0]",1377496.9937600454
"[2, 3, 3, 0]",1377509.7088490222
