date,value,price,weekday,working_day,madrid_temp,barcelona_temp,bilbao_temp,sevilla_temp,valencia_temp
2015-01-01,3440333.0,126.20541666666666,3,0,2.302056250000021,6.450240000000029,4.552584583333354,7.508438333333359,8.236675416666685
2015-01-02,4069521.0,131.80916666666667,4,1,2.2478170833333544,6.82276875000002,6.533707083333354,8.94184833333336,8.082911666666691
2015-01-03,3972525.0,127.62041666666666,5,1,3.306431250000022,8.111088750000022,7.590905833333359,9.615961666666689,10.276901250000018
2015-01-04,3777897.0,116.90625,6,1,4.076339166666695,9.198216666666688,8.215245000000024,9.613793750000026,10.841139583333357
2015-01-05,4064704.0,136.7075,0,1,4.725253750000024,8.139021666666686,7.389580833333357,8.404290833333354,8.960415000000028
2015-01-06,3632553.0,130.29666666666665,1,0,3.048841250000021,8.222741666666693,7.868015833333352,7.661207083333359,9.003084583333354
2015-01-07,4548185.0,143.23749999999998,2,1,1.7999916666666873,7.922104166666696,6.898358750000024,6.940768333333357,9.565861666666692
2015-01-08,4708010.0,143.68416666666667,3,1,2.261733333333356,6.941033333333356,7.408399583333356,8.95674000000002,9.21895708333336
2015-01-09,4648739.0,141.17458333333337,4,1,3.879784583333361,7.738733750000027,9.102820416666688,10.764641250000029,9.403180833333357
2015-01-10,4135279.0,130.3345833333333,5,1,4.167350416666683,9.760269166666689,8.173626666666687,11.248905833333358,11.209527083333349
2015-01-11,3832290.0,118.16375,6,1,3.742395416666684,9.419293333333355,8.290104166666692,9.751215000000029,11.77547500000002
2015-01-12,4558891.0,133.7516666666667,0,1,4.006748750000024,9.208651666666688,6.941725000000022,10.88785250000002,10.290560416666688
2015-01-13,4625274.0,132.55083333333332,1,1,5.223617083333354,10.593457500000026,10.658441666666684,10.500820000000015,11.320185000000018
2015-01-14,4622804.0,138.26,2,1,5.0525250000000215,9.183201666666688,9.008111250000026,10.783868333333356,11.720422083333354
2015-01-15,4615450.0,121.77291666666667,3,1,5.823643333333355,9.02666583333336,9.9579304166667,11.341843750000022,11.760644166666689
2015-01-16,4621113.0,127.61291666666666,4,1,4.621392083333357,8.383010000000025,6.31803750000002,10.143261666666689,11.973698750000027
2015-01-17,4202038.0,119.59041666666668,5,1,1.8992754166666896,7.338167916666687,6.04052250000002,7.018845416666696,9.043329583333357
2015-01-18,4015901.0,113.82166666666666,6,1,1.325942500000025,6.551814166666685,7.112103333333359,9.096661250000023,7.570794166666687
2015-01-19,4753734.0,127.5625,0,1,2.365755833333355,6.848891250000025,5.558615416666693,9.23319708333336,7.767957500000025
2015-01-20,4900678.0,137.6625,1,1,1.4382558333333575,6.9459675000000205,4.770297083333358,5.459720416666689,6.958326250000018
2015-01-21,4917199.0,128.41291666666666,2,1,1.36074291666669,6.108546666666693,5.314853750000023,6.887487083333357,7.933433333333355
2015-01-22,4883285.0,125.56958333333334,3,1,2.633936666666694,6.871991666666688,5.680579166666694,9.099460416666687,8.363307083333359
2015-01-23,4814256.0,129.32708333333332,4,1,2.478062500000024,5.756941250000021,5.586633333333353,8.252516666666692,8.831323333333353
2015-01-24,4316329.0,118.73791666666666,5,1,2.314497916666696,6.79737833333336,6.046717083333351,7.586174583333357,9.325614583333357
2015-01-25,3958450.0,110.85333333333334,6,1,4.81679666666669,7.960739583333357,5.3597133333333575,9.74012666666669,10.601272083333356
2015-01-26,4681684.0,132.9391666666667,0,1,3.708053750000019,6.408949166666683,6.183872916666691,9.85011041666669,7.984542083333352
2015-01-27,4738938.0,130.11,1,1,4.291263333333359,7.532808750000018,7.94464458333336,8.990940416666689,10.602016666666692
2015-01-28,4710419.0,132.635,2,1,4.961012916666685,7.198052083333359,8.482365000000023,9.133211666666693,9.25286208333336
2015-01-29,4694063.0,117.27875,3,1,6.271996666666685,9.717220416666692,10.521143750000023,10.323673750000024,12.675968750000024
2015-01-30,4633866.0,104.96833333333332,4,1,10.530308750000016,10.497886666666696,7.858992500000028,14.784030000000028,16.80997125000002
2015-01-31,4159835.0,86.83875,5,1,6.257462083333358,8.472547916666693,5.122093333333358,13.315963333333356,13.741642916666692
2015-02-01,3921603.0,88.03833333333334,6,1,3.293980416666689,6.58149708333336,3.804121666666693,8.766229166666685,10.019474583333356
2015-02-02,4731568.0,121.67875,0,1,2.633925416666687,6.391341250000022,6.157952916666687,8.562736666666689,9.32181250000002
2015-02-03,4842382.0,115.37375,1,1,4.292048333333358,6.371220833333349,4.28507125000002,11.73125541666669,11.132816666666692
2015-02-04,4951984.0,111.59416666666668,2,1,1.006595833333357,3.84340833333336,1.9661883333333536,8.73645291666669,7.577488750000024
2015-02-05,4934214.0,114.59791666666666,3,1,1.1718370833333556,4.653609583333356,2.637444166666692,7.295710833333362,7.229486250000015
2015-02-06,4936027.0,119.24833333333332,4,1,0.5320554166666843,3.3164625000000263,1.0242558333333631,6.556775833333354,6.946901666666688
2015-02-07,4492970.0,127.60958333333332,5,1,0.6911358333333553,4.999423333333351,2.0688720833333485,6.874689583333357,4.912258333333358
2015-02-08,4104819.0,114.64416666666666,6,1,1.552105833333357,6.132732500000017,3.1384116666666912,8.001467916666689,7.211338333333359
2015-02-09,4843193.0,125.55916666666668,0,1,3.013503333333354,5.996433333333357,3.270734166666687,9.379723750000023,7.372642916666692
2015-02-10,4905044.0,135.345,1,1,2.9061645833333523,7.0202766666666845,3.289717500000028,9.820030833333355,8.774337083333355
2015-02-11,4847763.0,138.99416666666667,2,1,3.71980166666669,7.112358750000023,6.190545000000024,9.616387916666694,9.32868750000002
2015-02-12,4796859.0,140.78541666666666,3,1,4.819867083333359,7.908828333333361,7.511754166666691,10.48047458333336,9.68417791666669
2015-02-13,4644858.0,124.23083333333334,4,1,6.032554583333355,9.17400458333336,8.025436666666693,11.19692416666669,11.000768333333353
2015-02-14,4172491.0,111.63166666666666,5,1,7.552179583333356,9.61618375000002,8.098320833333359,12.632624583333362,13.74354291666669
2015-02-15,3833646.0,102.56833333333331,6,1,8.471123750000025,9.599875833333355,8.860540416666693,13.460411666666692,14.761182083333352
2015-02-16,4465195.0,126.715,0,1,7.921167916666692,8.894878750000023,8.199050416666681,10.987521666666687,13.210017500000026
2015-02-17,4645671.0,111.46875,1,1,6.157401250000018,10.240075416666691,6.764703333333354,11.308455833333356,11.31691833333336
2015-02-18,4644501.0,118.83208333333332,2,1,5.746830833333358,9.292363750000026,5.8724895833333575,13.00370583333335,11.41880833333336
2015-02-19,4559894.0,131.55125,3,1,5.625149166666688,8.612980000000029,6.820723750000025,12.01990291666669,10.179733750000024
2015-02-20,4551382.0,125.83583333333333,4,1,5.177167916666694,7.329886666666684,7.68911291666669,10.239678750000024,9.196200833333355
2015-02-21,4115883.0,106.73,5,1,6.3850320833333525,7.787815000000021,6.728305416666686,11.374942083333355,10.662042500000023
2015-02-22,3813192.0,88.58291666666666,6,1,6.86604375000002,7.713454166666686,7.643730833333358,11.832291250000024,10.852573750000024
2015-02-23,4506264.0,101.53291666666668,0,1,7.80487541666669,10.329044583333356,8.52693333333336,12.481326666666687,14.562605833333365
2015-02-24,4626966.0,97.4875,1,1,5.446771666666692,9.400660000000023,6.165957916666689,11.556970833333358,12.874526250000024
2015-02-25,4599196.0,105.68958333333336,2,1,7.107801666666691,11.070275833333357,8.7267191666667,11.669855416666689,13.72122500000002
2015-02-26,4508794.0,112.91583333333334,3,1,9.626925416666692,9.924727500000026,10.148361666666686,13.84348833333336,16.45219291666669
2015-02-27,4394142.0,111.57541666666668,4,1,8.49982166666669,9.892012083333354,7.1371716666666885,13.61724208333336,13.98462416666669
2015-02-28,3917802.0,107.03916666666667,5,1,8.231977500000022,8.060917083333358,8.969181666666685,13.788070000000026,12.041497916666684
2015-03-01,3613356.0,100.74,6,1,10.888991250000018,11.49111333333336,12.831009166666687,14.65512541666669,16.71709458333335
2015-03-02,4228719.0,115.09916666666668,0,1,12.10381500000002,15.101993333333349,11.083072500000014,15.916774166666691,20.08198333333336
2015-03-03,4254892.0,127.9925,1,1,11.60447750000002,11.810358750000027,9.962978750000026,15.93965000000002,15.606735833333358
2015-03-04,4306087.0,105.62541666666668,2,1,8.822615416666686,9.054732500000023,7.356866666666687,16.64872416666669,14.428583333333352
2015-03-05,4362040.0,96.68916666666668,3,1,6.306257916666688,10.075851250000026,6.580356666666688,14.34893083333335,12.410435000000025
2015-03-06,4316526.0,120.90791666666668,4,1,8.790501250000021,8.485447916666693,7.794284583333355,13.74182625000003,10.58860541666668
2015-03-07,3786603.0,121.48125,5,1,10.83523041666669,10.070897083333357,10.682415416666691,15.095635416666688,13.20634458333336
2015-03-08,3499816.0,115.33083333333332,6,1,11.172571666666686,9.674473333333358,9.782273750000028,15.537235416666688,11.459222500000022
2015-03-09,4170278.0,118.33208333333332,0,1,11.131432083333356,9.674451250000027,8.953778750000026,15.90567416666669,11.899225833333356
2015-03-10,4235208.0,125.74625,1,1,11.69801000000002,11.02192541666668,9.42277333333336,16.858067916666688,13.045667083333354
2015-03-11,4207477.0,119.98708333333332,2,1,12.766746666666691,12.082562916666696,9.318637500000015,17.758854583333356,14.16886833333336
2015-03-12,4184941.0,119.00916666666666,3,1,12.938613750000023,11.830853750000022,9.675732916666696,17.23536500000002,15.151615000000026
2015-03-13,4199914.0,112.47041666666668,4,1,10.70030000000002,10.515395416666689,8.339727500000023,15.552198333333356,12.996150416666696
2015-03-14,3863902.0,114.61958333333332,5,1,7.224564166666686,7.861414583333361,6.229089166666689,15.468286250000023,11.50070625000002
2015-03-15,3609550.0,118.42125,6,1,5.479893333333351,7.563470000000019,5.6910758333333575,14.516716666666694,9.80562750000002
2015-03-16,4291160.0,129.41333333333333,0,1,5.346214166666684,8.342635833333349,7.009137916666693,13.601544583333352,9.67368875000002
2015-03-17,4413148.0,118.33958333333334,1,1,7.870648750000022,8.840307916666683,10.348505416666695,11.357618333333356,9.53073375000003
2015-03-18,4442608.0,117.83833333333332,2,1,5.993576250000015,11.717503750000024,9.86376250000002,11.736840416666697,11.472031250000017
2015-03-19,4150543.0,110.02541666666669,3,1,8.785902083333355,12.71679125000002,9.823980833333358,12.822279583333357,12.448653333333352
2015-03-20,4279650.0,109.77,4,1,9.683351250000024,12.85481125000002,7.872074166666685,13.014805000000024,12.21974875000003
2015-03-21,3934012.0,117.73208333333334,5,1,8.207849166666692,12.142825833333356,7.811213333333349,12.578696250000023,12.6068154166667
2015-03-22,3660101.0,118.02458333333334,6,1,8.905014583333354,11.404138750000016,7.450504166666692,12.827670000000015,11.66021166666668
2015-03-23,4390073.0,126.93666666666668,0,1,7.628714583333353,11.356948333333362,5.257327083333351,12.752468333333356,12.14775750000002
2015-03-24,4498148.0,117.70333333333332,1,1,8.238216250000022,11.381128750000032,6.953483750000021,10.488388750000018,12.47415541666669
2015-03-25,4451643.0,113.21916666666668,2,1,5.265211250000024,9.54870000000002,5.910416666666691,12.198520833333356,11.172763750000016
2015-03-26,4415524.0,115.75375,3,1,6.982376250000023,10.196363333333355,8.411400416666687,13.36129000000002,11.305832916666688
2015-03-27,4269872.0,117.62083333333334,4,1,12.366317083333362,11.119195833333356,9.714501666666685,16.705774166666693,16.54568916666669
2015-03-28,3739762.0,119.28708333333331,5,1,12.961676250000025,13.155175416666692,10.82923750000002,19.11200291666669,17.51112208333336
2015-03-29,3259763.0,107.1591304347826,6,1,13.857016521739146,13.011110869565242,12.345169130434805,19.90191782608698,17.170810000000028
2015-03-30,3944149.0,114.14916666666666,0,1,15.54259583333336,15.682855416666683,12.25189500000002,20.09265583333336,20.537184166666687
2015-03-31,3971949.0,114.61625,1,1,15.425592500000027,13.930527500000023,11.08153750000002,21.159236250000024,19.39522625000002
2015-04-01,3908569.0,100.545,2,1,13.569228333333356,12.54591583333336,9.043775000000023,22.03198541666669,15.605106666666686
2015-04-02,3428810.0,110.07083333333333,3,0,13.585464583333351,12.65080208333336,8.564944583333356,20.322990416666688,14.37339708333336
2015-04-03,3111112.0,113.42208333333332,4,0,14.990891666666691,12.100080833333346,8.879440833333357,19.410994583333355,14.64521750000003
2015-04-04,3275511.0,100.27583333333332,5,1,13.805496250000028,11.848801250000022,9.141525000000025,20.28555541666669,14.31041083333336
2015-04-05,3154371.0,98.36416666666666,6,1,14.066023333333357,12.112197083333358,9.150027916666687,18.538790416666693,13.564802500000022
2015-04-06,3445850.0,111.13958333333332,0,1,13.36534125000002,11.518313750000026,9.052423333333351,17.831509166666695,13.584059166666686
2015-04-07,3930653.0,117.37291666666664,1,1,12.408320833333354,10.41166583333336,11.23846708333336,16.51905583333335,13.001073333333355
2015-04-08,4061787.0,112.62916666666666,2,1,10.54660458333336,10.132155833333362,13.059126666666693,15.040115416666684,12.12886000000002
2015-04-09,4115980.0,124.14166666666668,3,1,8.407860833333357,11.07999916666669,13.330203750000024,15.027593333333362,11.873945833333352
2015-04-10,4063330.0,131.0525,4,1,10.545757083333354,11.247857500000016,12.12954125000002,15.728063333333353,12.876985833333356
2015-04-11,3676205.0,124.73875,5,1,12.289299583333351,12.79955500000002,11.489476666666691,15.835808333333354,13.16848125000002
2015-04-12,3376530.0,109.81666666666666,6,1,13.85691791666669,12.682173750000024,13.36508666666669,16.296972083333362,14.06600250000002
2015-04-13,3925519.0,119.23208333333334,0,1,15.185113333333357,13.54137541666669,15.882390000000024,18.468328333333357,14.352299583333355
2015-04-14,4031845.0,114.08333333333331,1,1,15.850458750000024,14.768832916666694,17.28996125000002,18.879775416666693,14.570887083333355
2015-04-15,4084742.0,120.365,2,1,14.138370416666689,14.736158750000016,16.316532916666688,15.83128166666669,13.92422958333336
2015-04-16,4055931.0,123.26416666666668,3,1,12.502975000000022,15.160659166666692,13.194798333333354,16.71569083333336,17.06455958333336
2015-04-17,4003823.0,131.32666666666668,4,1,13.576013750000028,14.09041791666669,12.109043333333352,17.69695541666669,18.04974875000002
2015-04-18,3584708.0,122.4625,5,1,12.19252958333336,14.282098333333357,12.531527500000022,17.338892916666694,16.427189583333355
