date,hour,value
09/04/2014,22,106.25
09/04/2014,23,101.77
10/04/2014,0,100.73
10/04/2014,1,97.58
10/04/2014,2,93.22
10/04/2014,3,94.43
10/04/2014,4,94.32
10/04/2014,5,95.02
10/04/2014,6,102.12
10/04/2014,7,102.88
10/04/2014,8,105.82
10/04/2014,9,105.69
10/04/2014,10,102.54
10/04/2014,11,99.48
10/04/2014,12,99.46
10/04/2014,13,99.77
10/04/2014,14,98.96
10/04/2014,15,99.86
10/04/2014,16,99.11
10/04/2014,17,99.94
10/04/2014,18,99.29
10/04/2014,19,98.77
10/04/2014,20,110.4
10/04/2014,21,113.66
10/04/2014,22,102.39
10/04/2014,23,99.1
11/04/2014,0,95.7
11/04/2014,1,93.84
11/04/2014,2,90.31
11/04/2014,3,94.96
11/04/2014,4,93.81
11/04/2014,5,93.76
11/04/2014,6,97.7
11/04/2014,7,97.86
11/04/2014,8,99.99
11/04/2014,9,103.32
11/04/2014,10,100.52
11/04/2014,11,99.2
11/04/2014,12,95.13
11/04/2014,13,95.07
11/04/2014,14,94.05
11/04/2014,15,93.38
11/04/2014,16,90.74
11/04/2014,17,90.66
11/04/2014,18,90.56
11/04/2014,19,92.52
11/04/2014,20,99.06
11/04/2014,21,101.05
11/04/2014,22,93.34
11/04/2014,23,92.08
12/04/2014,0,89.31
12/04/2014,1,80.42
12/04/2014,2,76.49
12/04/2014,3,77.05
12/04/2014,4,78.63
12/04/2014,5,78.82
12/04/2014,6,79.2
12/04/2014,7,80.87
12/04/2014,8,78.29
12/04/2014,9,79.31
12/04/2014,10,77.32
12/04/2014,11,77.15
12/04/2014,12,77.81
12/04/2014,13,77.66
12/04/2014,14,77.23
12/04/2014,15,77.56
12/04/2014,16,76.56
12/04/2014,17,75.85
12/04/2014,18,75.98
12/04/2014,19,73.77
12/04/2014,20,78.32
12/04/2014,21,90.47
12/04/2014,22,80.84
12/04/2014,23,76.87
13/04/2014,0,90.24
13/04/2014,1,77.33
13/04/2014,2,76.45
13/04/2014,3,78.29
13/04/2014,4,78.15
13/04/2014,5,77.5
13/04/2014,6,75.97
13/04/2014,7,75.25
13/04/2014,8,74.33
13/04/2014,9,74.63
13/04/2014,10,74.64
13/04/2014,11,75.01
13/04/2014,12,76.86
13/04/2014,13,77.77
13/04/2014,14,77.86
13/04/2014,15,74.37
13/04/2014,16,73.34
13/04/2014,17,73.31
13/04/2014,18,71.24
13/04/2014,19,78.66
13/04/2014,20,100.5
13/04/2014,21,105.6
13/04/2014,22,97.23
13/04/2014,23,89.59
14/04/2014,0,89.82
14/04/2014,1,79.61
14/04/2014,2,74.01
14/04/2014,3,75.44
14/04/2014,4,75.49
14/04/2014,5,76.52
14/04/2014,6,92.37
14/04/2014,7,95.3
14/04/2014,8,102.45
14/04/2014,9,104.17
14/04/2014,10,103.69
14/04/2014,11,99.96
14/04/2014,12,99.77
14/04/2014,13,97.31
14/04/2014,14,93.43
14/04/2014,15,93.06
14/04/2014,16,92.48
14/04/2014,17,95.11
14/04/2014,18,93.86
14/04/2014,19,95.23
14/04/2014,20,107.0
14/04/2014,21,115.16
14/04/2014,22,104.5
14/04/2014,23,97.4
15/04/2014,0,101.42
15/04/2014,1,100.93
15/04/2014,2,99.68
15/04/2014,3,101.55
15/04/2014,4,100.7
15/04/2014,5,102.89
15/04/2014,6,108.49
15/04/2014,7,109.4
15/04/2014,8,110.04
15/04/2014,9,111.0
15/04/2014,10,110.23
15/04/2014,11,109.2
15/04/2014,12,106.32
15/04/2014,13,105.02
15/04/2014,14,104.18
15/04/2014,15,104.27
15/04/2014,16,103.3
15/04/2014,17,104.37
15/04/2014,18,104.75
15/04/2014,19,103.56
15/04/2014,20,122.46
15/04/2014,21,125.06
15/04/2014,22,107.18
15/04/2014,23,103.63
16/04/2014,0,106.74
16/04/2014,1,106.84
16/04/2014,2,102.51
16/04/2014,3,104.63
16/04/2014,4,102.67
16/04/2014,5,104.48
16/04/2014,6,108.81
16/04/2014,7,109.91
16/04/2014,8,109.96
16/04/2014,9,110.96
16/04/2014,10,111.02
16/04/2014,11,106.1
16/04/2014,12,105.19
16/04/2014,13,104.92
16/04/2014,14,104.7
16/04/2014,15,103.2
16/04/2014,16,102.89
16/04/2014,17,103.26
16/04/2014,18,103.65
16/04/2014,19,102.61
16/04/2014,20,116.29
16/04/2014,21,118.87
16/04/2014,22,104.08
16/04/2014,23,100.69
17/04/2014,0,99.69
17/04/2014,1,96.38
17/04/2014,2,95.68
17/04/2014,3,96.92
17/04/2014,4,96.19
17/04/2014,5,97.17
17/04/2014,6,99.89
17/04/2014,7,97.89
17/04/2014,8,98.36
17/04/2014,9,97.78
17/04/2014,10,95.38
17/04/2014,11,92.41
17/04/2014,12,91.32
